device_record_id,device_id,customer_id,device_type,os_family,device_trust_status,first_seen_timestamp,last_seen_timestamp,device_fingerprint_token
DEVR00001166,DEV00001166,CUS0010780,MOBILE,EMBEDDED,TRUSTED,2024-05-01 18:58:38,2024-12-01 00:09:50,TOK-D-0000001166
DEVR00001194,DEV00001194,CUS0004612,DESKTOP,LINUX,OBSERVED,2025-12-28 09:39:44,2025-12-31 20:21:17,TOK-D-0000001194
DEVR00001234,DEV00001234,CUS0004780,POS_TERMINAL,EMBEDDED,OBSERVED,2024-06-26 22:30:32,2024-07-09 03:09:24,TOK-D-0000001234
DEVR00001313,DEV00001313,CUS0008046,POS_TERMINAL,LINUX,TRUSTED,2024-06-30 14:18:26,2025-01-20 16:15:14,TOK-D-0000001313
DEVR00001341,DEV00001341,CUS0008700,POS_TERMINAL,MACOS,TRUSTED,2024-09-09 18:18:11,2025-04-09 11:41:37,TOK-D-0000001341
DEVR00001353,DEV00001353,CUS0008178,MOBILE,IOS,TRUSTED,2026-04-25 11:05:20,2026-06-30 23:59:59,TOK-D-0000001353
DEVR00001355,DEV00001355,CUS0010855,MOBILE,MACOS,TRUSTED,2024-12-10 20:18:33,2025-05-02 12:29:25,TOK-D-0000001355
DEVR00001371,DEV00001371,CUS0010055,POS_TERMINAL,MACOS,TRUSTED,2025-12-04 23:51:04,2026-04-26 17:59:13,TOK-D-0000001371
DEVR00001410,DEV00001410,CUS0003365,MOBILE,EMBEDDED,TRUSTED,2026-01-04 08:11:09,2026-06-30 23:59:59,TOK-D-0000001410
DEVR00001433,DEV00001433,CUS0015126,TABLET,IOS,TRUSTED,2025-01-07 01:24:42,2025-01-25 08:19:48,TOK-D-0000001433
DEVR00001456,DEV00001456,CUS0008032,MOBILE,LINUX,OBSERVED,2024-08-06 10:03:49,2025-05-21 22:29:35,TOK-D-0000001456
DEVR00001484,DEV00001484,CUS0004990,POS_TERMINAL,IOS,TRUSTED,2025-08-11 18:47:27,2025-10-07 06:54:52,TOK-D-0000001484
DEVR00001514,DEV00001514,CUS0012001,MOBILE,LINUX,TRUSTED,2024-10-09 19:41:23,2024-11-23 16:21:48,TOK-D-0000001514
DEVR00001525,DEV00001525,CUS0008197,MOBILE,MACOS,TRUSTED,2024-04-18 22:28:36,2024-12-04 18:11:41,TOK-D-0000001525
DEVR00001566,DEV00001566,CUS0006952,POS_TERMINAL,MACOS,TRUSTED,2024-02-12 04:45:02,2024-06-24 16:46:16,TOK-D-0000001566
DEVR00001617,DEV00001617,CUS0008422,TABLET,IOS,TRUSTED,2025-09-16 00:36:39,2026-03-28 09:39:25,TOK-D-0000001617
DEVR00001652,DEV00001652,CUS0010657,DESKTOP,EMBEDDED,TRUSTED,2024-02-12 02:16:15,2024-06-12 16:10:02,TOK-D-0000001652
DEVR00001696,DEV00001696,CUS0012601,DESKTOP,ANDROID,UNTRUSTED,2025-02-11 13:48:17,2025-05-21 03:09:00,TOK-D-0000001696
DEVR00001743,DEV00001743,CUS0005549,POS_TERMINAL,WINDOWS,TRUSTED,2026-04-29 17:05:25,2026-06-30 23:59:59,TOK-D-0000001743
DEVR00001755,DEV00001755,CUS0006183,POS_TERMINAL,IOS,TRUSTED,2024-11-27 17:27:42,2025-05-07 11:35:27,TOK-D-0000001755
DEVR00001795,DEV00001795,CUS0017353,MOBILE,IOS,TRUSTED,2026-01-21 07:40:55,2026-01-25 13:49:29,TOK-D-0000001795
DEVR00001802,DEV00001802,CUS0000422,MOBILE,WINDOWS,OBSERVED,2025-02-06 15:49:37,2025-09-22 22:06:22,TOK-D-0000001802
DEVR00001824,DEV00001824,CUS0015731,MOBILE,ANDROID,TRUSTED,2024-01-28 23:18:58,2024-08-06 18:20:31,TOK-D-0000001824
DEVR00001837,DEV00001837,CUS0007661,MOBILE,MACOS,TRUSTED,2025-06-12 08:35:26,2025-11-23 15:55:19,TOK-D-0000001837
DEVR00001967,DEV00001967,CUS0013436,DESKTOP,ANDROID,TRUSTED,2024-10-08 17:40:48,2025-03-22 14:29:25,TOK-D-0000001967
DEVR00002009,DEV00002009,CUS0010161,MOBILE,EMBEDDED,TRUSTED,2026-05-22 21:46:26,2026-06-30 23:59:59,TOK-D-0000002009
DEVR00002026,DEV00002026,CUS0017547,MOBILE,MACOS,UNTRUSTED,2025-05-05 15:14:10,2025-10-20 10:15:38,TOK-D-0000002026
DEVR00002038,DEV00002038,CUS0002374,MOBILE,LINUX,TRUSTED,2024-02-17 21:10:06,2024-10-09 17:50:47,TOK-D-0000002038
DEVR00002054,DEV00002054,CUS0013042,TABLET,LINUX,TRUSTED,2025-03-08 00:02:49,2025-09-18 11:04:35,TOK-D-0000002054
DEVR00002078,DEV00002078,CUS0005300,MOBILE,IOS,TRUSTED,2024-07-16 11:43:27,2025-03-28 00:16:05,TOK-D-0000002078
DEVR00002090,DEV00002090,CUS0015055,POS_TERMINAL,MACOS,TRUSTED,2025-11-23 14:03:31,2026-04-01 06:39:35,TOK-D-0000002090
DEVR00002146,DEV00002146,CUS0007143,POS_TERMINAL,IOS,OBSERVED,2024-05-02 23:10:44,2025-01-02 12:32:58,TOK-D-0000002146
DEVR00002271,DEV00002271,CUS0014617,MOBILE,WINDOWS,TRUSTED,2025-07-18 06:59:10,2025-08-01 03:30:39,TOK-D-0000002271
DEVR00002295,DEV00002295,CUS0005958,MOBILE,IOS,OBSERVED,2025-03-08 14:37:52,2025-07-28 04:11:49,TOK-D-0000002295
DEVR00002296,DEV00002296,CUS0015336,DESKTOP,LINUX,OBSERVED,2024-01-28 03:26:02,2024-11-08 07:57:20,TOK-D-0000002296
DEVR00002306,DEV00002306,CUS0011052,MOBILE,WINDOWS,TRUSTED,2024-08-07 16:54:55,2024-09-11 10:55:02,TOK-D-0000002306
DEVR00002315,DEV00002315,CUS0005117,MOBILE,WINDOWS,TRUSTED,2025-06-14 05:23:03,2026-03-01 17:15:58,TOK-D-0000002315
DEVR00002322,DEV00002322,CUS0013135,TABLET,LINUX,OBSERVED,2024-03-21 17:16:51,2024-08-14 01:49:40,TOK-D-0000002322
DEVR00002413,DEV00002413,CUS0012499,DESKTOP,IOS,TRUSTED,2024-05-14 05:50:44,2025-01-07 13:14:30,TOK-D-0000002413
DEVR00002518,DEV00002518,CUS0012867,POS_TERMINAL,LINUX,TRUSTED,2025-05-20 10:17:17,2025-07-06 22:27:34,TOK-D-0000002518
DEVR00002519,DEV00002519,CUS0015392,MOBILE,ANDROID,TRUSTED,2025-09-24 19:25:44,2026-02-25 13:56:56,TOK-D-0000002519
DEVR00002533,DEV00002533,CUS0014361,MOBILE,EMBEDDED,TRUSTED,2025-08-21 06:54:06,2025-11-25 12:46:51,TOK-D-0000002533
DEVR00002605,DEV00002605,CUS0007373,MOBILE,ANDROID,OBSERVED,2025-03-28 14:59:21,2025-04-21 04:26:52,TOK-D-0000002605
DEVR00002645,DEV00002645,CUS0017168,POS_TERMINAL,LINUX,OBSERVED,2025-05-13 18:36:42,2026-02-04 20:08:24,TOK-D-0000002645
DEVR00002656,DEV00002656,CUS0008310,DESKTOP,MACOS,TRUSTED,2024-01-30 23:46:01,2024-09-15 01:18:40,TOK-D-0000002656
DEVR00002681,DEV00002681,CUS0014985,DESKTOP,LINUX,TRUSTED,2025-12-22 16:40:09,2026-03-16 06:28:10,TOK-D-0000002681
DEVR00002689,DEV00002689,CUS0013588,TABLET,MACOS,OBSERVED,2025-01-23 18:29:55,2025-09-19 00:04:48,TOK-D-0000002689
DEVR00002737,DEV00002737,CUS0009558,TABLET,LINUX,UNTRUSTED,2024-12-14 06:59:23,2024-12-23 10:44:03,TOK-D-0000002737
DEVR00002756,DEV00002756,CUS0015707,TABLET,WINDOWS,TRUSTED,2024-08-26 13:12:52,2025-05-04 14:10:04,TOK-D-0000002756
DEVR00002786,DEV00002786,CUS0006811,DESKTOP,LINUX,TRUSTED,2024-04-04 05:40:40,2024-05-25 19:14:28,TOK-D-0000002786
DEVR00002824,DEV00002824,CUS0009122,MOBILE,EMBEDDED,OBSERVED,2025-01-25 15:22:51,2025-11-08 13:44:00,TOK-D-0000002824
DEVR00002896,DEV00002896,CUS0017206,MOBILE,ANDROID,TRUSTED,2025-04-19 18:09:58,2025-11-30 14:08:18,TOK-D-0000002896
DEVR00002907,DEV00002907,CUS0006021,MOBILE,MACOS,TRUSTED,2025-04-08 00:14:37,2025-09-25 00:15:23,TOK-D-0000002907
DEVR00002934,DEV00002934,CUS0017829,TABLET,ANDROID,TRUSTED,2025-04-17 11:39:27,2025-10-01 21:09:36,TOK-D-0000002934
DEVR00002957,DEV00002957,CUS0011426,DESKTOP,EMBEDDED,TRUSTED,2024-07-15 22:52:56,2024-12-31 00:26:03,TOK-D-0000002957
DEVR00002978,DEV00002978,CUS0012681,TABLET,LINUX,TRUSTED,2024-08-02 19:32:48,2025-02-02 18:21:51,TOK-D-0000002978
DEVR00003028,DEV00003028,CUS0000522,MOBILE,ANDROID,TRUSTED,2026-02-17 20:39:13,2026-06-09 05:36:07,TOK-D-0000003028
DEVR00003031,DEV00003031,CUS0015981,MOBILE,MACOS,TRUSTED,2025-06-20 02:30:52,2025-08-25 12:18:36,TOK-D-0000003031
DEVR00003059,DEV00003059,CUS0012621,POS_TERMINAL,LINUX,UNTRUSTED,2024-05-06 09:53:10,2025-02-26 09:14:54,TOK-D-0000003059
DEVR00003099,DEV00003099,CUS0013702,MOBILE,EMBEDDED,TRUSTED,2025-07-27 20:50:35,2026-02-24 13:40:29,TOK-D-0000003099
DEVR00003236,DEV00003236,CUS0016160,DESKTOP,EMBEDDED,TRUSTED,2025-11-18 08:52:21,2026-03-07 13:06:40,TOK-D-0000003236
DEVR00003243,DEV00003243,CUS0005023,MOBILE,ANDROID,TRUSTED,2026-01-13 10:50:18,2026-06-30 23:59:59,TOK-D-0000003243
DEVR00003245,DEV00003245,CUS0002027,MOBILE,MACOS,TRUSTED,2025-06-30 05:01:05,2026-03-06 03:57:47,TOK-D-0000003245
DEVR00003273,DEV00003273,CUS0014572,MOBILE,ANDROID,OBSERVED,2026-04-02 21:52:26,2026-06-30 23:59:59,TOK-D-0000003273
DEVR00003323,DEV00003323,CUS0005558,MOBILE,WINDOWS,OBSERVED,2025-08-20 14:00:15,2026-02-04 21:38:52,TOK-D-0000003323
DEVR00003336,DEV00003336,CUS0006882,MOBILE,EMBEDDED,TRUSTED,2026-03-11 23:34:27,2026-06-30 23:59:59,TOK-D-0000003336
DEVR00003359,DEV00003359,CUS0001717,DESKTOP,WINDOWS,OBSERVED,2025-12-16 12:18:44,2026-01-02 03:36:12,TOK-D-0000003359
DEVR00003396,DEV00003396,CUS0017225,MOBILE,LINUX,UNTRUSTED,2025-03-12 02:40:07,2025-03-21 19:50:19,TOK-D-0000003396
DEVR00003436,DEV00003436,CUS0007806,TABLET,MACOS,TRUSTED,2024-04-30 19:51:46,2025-01-02 16:52:02,TOK-D-0000003436
DEVR00003466,DEV00003466,CUS0014677,MOBILE,IOS,TRUSTED,2026-04-02 05:25:55,2026-06-30 23:59:59,TOK-D-0000003466
DEVR00003482,DEV00003482,CUS0015899,MOBILE,IOS,TRUSTED,2025-08-28 02:09:13,2026-02-02 10:21:17,TOK-D-0000003482
DEVR00003486,DEV00003486,CUS0006137,MOBILE,MACOS,TRUSTED,2025-04-09 13:56:06,2025-11-14 13:59:42,TOK-D-0000003486
DEVR00003591,DEV00003591,CUS0005925,MOBILE,MACOS,OBSERVED,2026-04-11 04:19:20,2026-05-28 21:46:00,TOK-D-0000003591
DEVR00003659,DEV00003659,CUS0017753,MOBILE,LINUX,OBSERVED,2025-03-11 15:53:12,2025-04-06 19:30:04,TOK-D-0000003659
DEVR00003700,DEV00003700,CUS0011805,DESKTOP,MACOS,TRUSTED,2025-03-12 15:19:41,2025-11-02 18:57:16,TOK-D-0000003700
DEVR00003735,DEV00003735,CUS0001409,POS_TERMINAL,LINUX,TRUSTED,2026-05-20 21:13:06,2026-06-30 23:59:59,TOK-D-0000003735
DEVR00003774,DEV00003774,CUS0003827,DESKTOP,MACOS,TRUSTED,2025-07-09 19:45:56,2025-11-08 22:25:03,TOK-D-0000003774
DEVR00003818,DEV00003818,CUS0010637,POS_TERMINAL,MACOS,TRUSTED,2025-10-04 02:46:51,2026-05-06 13:17:56,TOK-D-0000003818
DEVR00003831,DEV00003831,CUS0005503,TABLET,IOS,TRUSTED,2026-04-08 08:42:20,2026-06-30 23:59:59,TOK-D-0000003831
DEVR00003856,DEV00003856,CUS0007959,MOBILE,ANDROID,OBSERVED,2024-07-02 03:54:23,2025-02-25 14:04:16,TOK-D-0000003856
DEVR00003860,DEV00003860,CUS0013914,MOBILE,WINDOWS,TRUSTED,2024-02-20 14:31:27,2024-05-03 00:55:49,TOK-D-0000003860
DEVR00003950,DEV00003950,CUS0005879,MOBILE,EMBEDDED,TRUSTED,2025-02-19 11:44:38,2025-08-06 06:41:04,TOK-D-0000003950
DEVR00003963,DEV00003963,CUS0015195,POS_TERMINAL,EMBEDDED,OBSERVED,2025-10-11 06:42:38,2025-10-27 07:53:46,TOK-D-0000003963
DEVR00004046,DEV00004046,CUS0017831,MOBILE,MACOS,TRUSTED,2024-09-22 13:00:20,2024-11-10 18:52:46,TOK-D-0000004046
DEVR00004068,DEV00004068,CUS0007998,MOBILE,ANDROID,TRUSTED,2026-01-24 15:44:13,2026-06-30 23:59:59,TOK-D-0000004068
DEVR00004104,DEV00004104,CUS0017915,MOBILE,IOS,OBSERVED,2024-06-12 01:20:54,2025-02-27 16:08:04,TOK-D-0000004104
DEVR00004133,DEV00004133,CUS0000598,DESKTOP,LINUX,TRUSTED,2024-02-23 04:35:36,2024-07-15 10:33:52,TOK-D-0000004133
DEVR00004166,DEV00004166,CUS0000455,POS_TERMINAL,MACOS,TRUSTED,2025-05-09 18:12:52,2025-05-26 10:43:45,TOK-D-0000004166
DEVR00004178,DEV00004178,CUS0009307,POS_TERMINAL,WINDOWS,TRUSTED,2025-11-25 04:24:17,2026-06-30 23:59:59,TOK-D-0000004178
DEVR00004179,DEV00004179,CUS0016751,DESKTOP,EMBEDDED,TRUSTED,2026-05-18 05:35:24,2026-06-30 23:59:59,TOK-D-0000004179
DEVR00004197,DEV00004197,CUS0001328,POS_TERMINAL,EMBEDDED,TRUSTED,2024-02-29 15:17:39,2024-12-02 11:20:48,TOK-D-0000004197
DEVR00004231,DEV00004231,CUS0015826,TABLET,ANDROID,OBSERVED,2025-02-06 18:41:51,2025-10-29 01:50:12,TOK-D-0000004231
DEVR00004263,DEV00004263,CUS0006680,MOBILE,LINUX,TRUSTED,2026-05-01 15:44:04,2026-06-30 10:13:04,TOK-D-0000004263
DEVR00004285,DEV00004285,CUS0011023,MOBILE,EMBEDDED,TRUSTED,2026-05-18 18:00:54,2026-06-30 23:59:59,TOK-D-0000004285
DEVR00004315,DEV00004315,CUS0006629,TABLET,MACOS,TRUSTED,2025-11-09 17:58:02,2026-02-02 22:18:25,TOK-D-0000004315
DEVR00004337,DEV00004337,CUS0012588,POS_TERMINAL,WINDOWS,TRUSTED,2024-07-02 13:45:14,2025-01-10 00:41:26,TOK-D-0000004337
DEVR00004366,DEV00004366,CUS0007001,MOBILE,EMBEDDED,OBSERVED,2024-08-24 20:28:46,2024-09-12 06:23:45,TOK-D-0000004366
DEVR00004368,DEV00004368,CUS0015309,TABLET,IOS,TRUSTED,2025-01-20 01:55:25,2025-07-24 07:09:59,TOK-D-0000004368
DEVR00004403,DEV00004403,CUS0013059,MOBILE,WINDOWS,TRUSTED,2024-06-24 20:56:41,2024-08-05 14:51:13,TOK-D-0000004403
DEVR00004469,DEV00004469,CUS0009269,POS_TERMINAL,ANDROID,TRUSTED,2025-04-11 07:16:18,2025-07-22 13:00:05,TOK-D-0000004469
DEVR00004522,DEV00004522,CUS0004112,MOBILE,LINUX,TRUSTED,2025-06-14 11:43:06,2025-09-13 15:14:19,TOK-D-0000004522
DEVR00004561,DEV00004561,CUS0014627,TABLET,ANDROID,TRUSTED,2026-04-25 07:55:47,2026-06-30 23:59:59,TOK-D-0000004561
DEVR00004633,DEV00004633,CUS0004958,MOBILE,IOS,TRUSTED,2024-02-21 17:05:19,2024-07-14 08:56:28,TOK-D-0000004633
DEVR00004705,DEV00004705,CUS0003761,TABLET,EMBEDDED,TRUSTED,2024-09-28 08:27:50,2025-02-27 16:14:01,TOK-D-0000004705
DEVR00004772,DEV00004772,CUS0015660,MOBILE,IOS,TRUSTED,2025-06-17 02:33:54,2025-09-13 01:05:40,TOK-D-0000004772
DEVR00004813,DEV00004813,CUS0010294,MOBILE,IOS,TRUSTED,2024-12-31 19:53:42,2025-06-29 14:44:59,TOK-D-0000004813
DEVR00004988,DEV00004988,CUS0007977,MOBILE,IOS,TRUSTED,2024-11-15 01:44:07,2025-09-02 18:38:19,TOK-D-0000004988
DEVR00005011,DEV00005011,CUS0011039,DESKTOP,ANDROID,TRUSTED,2024-09-18 12:55:59,2024-09-29 17:42:34,TOK-D-0000005011
DEVR00005016,DEV00005016,CUS0000355,TABLET,MACOS,TRUSTED,2024-08-21 02:16:04,2024-10-30 20:05:26,TOK-D-0000005016
DEVR00005061,DEV00005061,CUS0007922,MOBILE,MACOS,TRUSTED,2025-02-27 22:03:54,2025-08-13 00:16:44,TOK-D-0000005061
DEVR00005065,DEV00005065,CUS0003395,DESKTOP,ANDROID,OBSERVED,2024-11-15 19:02:58,2025-08-18 00:42:48,TOK-D-0000005065
DEVR00005086,DEV00005086,CUS0017451,MOBILE,IOS,TRUSTED,2026-06-02 21:24:07,2026-06-30 23:59:59,TOK-D-0000005086
DEVR00005096,DEV00005096,CUS0006520,TABLET,EMBEDDED,TRUSTED,2025-04-28 14:33:02,2025-07-17 10:27:51,TOK-D-0000005096
DEVR00005140,DEV00005140,CUS0007073,MOBILE,MACOS,OBSERVED,2024-04-20 14:52:59,2025-01-06 13:32:09,TOK-D-0000005140
DEVR00005145,DEV00005145,CUS0001752,TABLET,LINUX,TRUSTED,2024-05-05 05:09:47,2024-06-05 19:26:13,TOK-D-0000005145
DEVR00005160,DEV00005160,CUS0015376,MOBILE,EMBEDDED,TRUSTED,2024-02-03 13:21:48,2024-09-04 11:49:24,TOK-D-0000005160
DEVR00005167,DEV00005167,CUS0011678,MOBILE,MACOS,OBSERVED,2025-06-26 12:31:29,2025-12-13 12:44:18,TOK-D-0000005167
DEVR00005170,DEV00005170,CUS0015774,DESKTOP,EMBEDDED,TRUSTED,2025-06-19 08:59:24,2025-11-20 09:05:44,TOK-D-0000005170
DEVR00005189,DEV00005189,CUS0005512,DESKTOP,WINDOWS,TRUSTED,2024-01-16 14:26:26,2024-09-20 23:05:56,TOK-D-0000005189
DEVR00005220,DEV00005220,CUS0003645,DESKTOP,EMBEDDED,OBSERVED,2025-04-17 16:06:36,2025-11-05 16:32:29,TOK-D-0000005220
DEVR00005326,DEV00005326,CUS0006428,POS_TERMINAL,WINDOWS,TRUSTED,2025-02-15 08:43:55,2025-09-19 19:49:07,TOK-D-0000005326
DEVR00005359,DEV00005359,CUS0004474,MOBILE,IOS,TRUSTED,2024-09-05 05:52:58,2024-11-26 05:53:14,TOK-D-0000005359
DEVR00005389,DEV00005389,CUS0016770,MOBILE,MACOS,TRUSTED,2026-05-24 07:32:28,2026-06-30 23:59:59,TOK-D-0000005389
DEVR00005417,DEV00005417,CUS0003076,MOBILE,IOS,TRUSTED,2024-11-08 10:21:43,2025-03-14 13:58:31,TOK-D-0000005417
DEVR00005440,DEV00005440,CUS0006116,DESKTOP,LINUX,TRUSTED,2024-03-10 02:25:26,2024-11-29 20:07:40,TOK-D-0000005440
DEVR00005499,DEV00005499,CUS0014186,MOBILE,EMBEDDED,TRUSTED,2025-07-11 16:45:43,2025-08-28 09:46:35,TOK-D-0000005499
DEVR00005574,DEV00005574,CUS0016630,MOBILE,MACOS,TRUSTED,2025-10-16 11:13:44,2026-06-08 14:33:52,TOK-D-0000005574
DEVR00005579,DEV00005579,CUS0016245,MOBILE,MACOS,TRUSTED,2024-12-12 14:18:11,2024-12-13 21:32:50,TOK-D-0000005579
DEVR00005584,DEV00005584,CUS0003905,MOBILE,LINUX,TRUSTED,2024-01-25 09:58:00,2024-11-08 15:50:52,TOK-D-0000005584
DEVR00005611,DEV00005611,CUS0011814,DESKTOP,IOS,TRUSTED,2025-11-16 01:05:24,2025-11-19 18:18:39,TOK-D-0000005611
DEVR00005635,DEV00005635,CUS0013026,MOBILE,IOS,UNTRUSTED,2025-02-09 04:54:39,2025-04-30 03:18:02,TOK-D-0000005635
DEVR00005651,DEV00005651,CUS0012169,MOBILE,IOS,TRUSTED,2025-04-05 13:11:32,2025-06-29 01:20:23,TOK-D-0000005651
DEVR00005694,DEV00005694,CUS0002676,MOBILE,WINDOWS,TRUSTED,2025-01-24 11:23:07,2025-06-16 07:05:09,TOK-D-0000005694
DEVR00005697,DEV00005697,CUS0007909,MOBILE,EMBEDDED,TRUSTED,2024-05-03 16:21:15,2025-02-12 21:06:49,TOK-D-0000005697
DEVR00005720,DEV00005720,CUS0006686,POS_TERMINAL,IOS,OBSERVED,2024-07-06 10:11:23,2024-10-06 21:40:32,TOK-D-0000005720
DEVR00005724,DEV00005724,CUS0008663,DESKTOP,MACOS,TRUSTED,2026-04-20 07:35:31,2026-06-25 12:57:51,TOK-D-0000005724
DEVR00005752,DEV00005752,CUS0007556,TABLET,LINUX,TRUSTED,2025-06-01 05:33:33,2025-08-28 01:55:47,TOK-D-0000005752
DEVR00005814,DEV00005814,CUS0005800,DESKTOP,WINDOWS,OBSERVED,2024-10-29 01:16:40,2025-08-24 04:38:16,TOK-D-0000005814
DEVR00005817,DEV00005817,CUS0011840,MOBILE,IOS,TRUSTED,2026-06-18 21:00:23,2026-06-30 23:59:59,TOK-D-0000005817
DEVR00005824,DEV00005824,CUS0017826,DESKTOP,IOS,TRUSTED,2026-06-17 05:34:31,2026-06-30 23:59:59,TOK-D-0000005824
DEVR00005851,DEV00005851,CUS0007845,MOBILE,WINDOWS,TRUSTED,2025-05-12 00:44:36,2026-02-06 18:43:09,TOK-D-0000005851
DEVR00005858,DEV00005858,CUS0010344,MOBILE,ANDROID,TRUSTED,2026-05-13 15:54:01,2026-06-30 23:59:59,TOK-D-0000005858
